Activity_ID,Customer_ID,Plan_ID,PaymentMethod_ID,Date_ID,Monthly_Charges,Total_Charges,Tenure_Months,Internet_Usage_GB,Calls_Minutes,Customer_Satisfaction_Score
A0000107,C000107,P069,PM002,20201011,104.15,7303.05,72,113.58,202,6.6
A0000108,C000108,P008,PM004,20210924,30.15,927.65,32,9.92,20,9.5
A0000109,C000109,P042,PM004,20230715,94.35,3921.3,43,95.64,0,9.6
A0000110,C000110,P011,PM008,20220321,19.4,1363.25,72,0,285,10
A0000111,C000111,P070,PM002,20230205,96.75,5238.9,55,87.16,253,2.7
A0000112,C000112,P071,PM008,20200223,57.95,3042.25,52,17.25,98,6.7
A0000113,C000113,P072,PM002,20191102,91.65,3954.1,43,91.95,277,9.8
A0000114,C000114,P073,PM002,20200426,76.5,2868.15,37,88.82,292,2.8
A0000115,C000115,P074,PM002,20210526,54.6,3423.5,64,15.42,14,6
A0000116,C000116,P075,PM002,20210701,89.85,248.4,3,91.36,11,7.3
A0000117,C000117,P008,PM006,20211016,31.05,1126.35,36,9.14,20,8
A0000118,C000118,P043,PM002,20221031,100.25,1064.65,10,94.41,183,6.8
A0000119,C000119,P011,PM004,20180627,20.65,835.15,41,5.92,311,7.9
A0000120,C000120,P076,PM008,20181003,85.2,2151.6,27,88.96,316,7.3
A0000121,C000121,P006,PM008,20220724,99.8,5515.45,56,103.76,171,8
A0000122,C000122,P011,PM004,20200301,20.7,112.75,6,0,309,8.4
A0000123,C000123,P073,PM002,20220804,74.4,229.55,3,81.41,215,5.3
A0000124,C000124,P010,PM004,20211125,50.7,350.35,7,8.2,63,7.6
A0000125,C000125,P011,PM004,20210525,20.85,62.9,4,3.14,355,5.1
A0000126,C000126,P077,PM002,20180127,88.95,3027.65,33,99.9,180,6.8
A0000127,C000127,P078,PM002,20210909,78.05,2135.5,27,73.1,173,6.6
A0000128,C000128,P045,PM006,20220510,23.55,1723.95,72,0,213,7.9
A0000129,C000129,P011,PM004,20220923,19.75,19.75,1,0.7,274,7.2
A0000130,C000130,P079,PM002,20181012,56.45,3985.35,71,14.42,9,9.6
A0000131,C000131,P034,PM002,20210117,85.95,1215.65,13,78.2,299,6.7
A0000132,C000132,P080,PM008,20201204,58.6,1502.65,25,17.92,0,4.7
A0000133,C000133,P050,PM006,20200630,50.55,3260.1,67,9.85,183,7.9
A0000134,C000134,P081,PM002,20221220,35.45,35.45,1,13,9,3.7
A0000135,C000135,P027,PM002,20180323,44.35,81.25,2,8.71,420,4.4
A0000136,C000136,P045,PM008,20200906,25.7,1188.2,43,8.01,239,7.8
A0000137,C000137,P082,PM006,20210405,75,1778.5,23,71.08,347,6.2
A0000138,C000138,P011,PM004,20221108,20.2,1277.75,64,0,253,8.3
A0000139,C000139,P011,PM004,20221231,19.6,1170.55,57,4.26,206,6.2
A0000140,C000140,P005,PM004,20221109,70.45,70.45,1,64.3,227,4.2
A0000141,C000141,P022,PM008,20210826,88.05,6425.65,72,27.55,234,9.6
A0000142,C000142,P083,PM002,20230701,71.15,563.65,8,27.88,304,3.8
A0000143,C000143,P021,PM006,20180323,101.05,5971.25,61,93.01,373,6.5
A0000144,C000144,P084,PM008,20180404,84.3,5289.05,64,85.22,282,7.6
A0000145,C000145,P045,PM006,20210906,23.95,1756.2,71,1.54,356,6.7
A0000146,C000146,P028,PM008,20181209,99.05,6416.7,65,102.96,163,8.5
A0000147,C000147,P011,PM004,20230129,19.6,61.35,3,0,212,7.6
A0000148,C000148,P027,PM002,20201225,45.65,45.65,1,7.09,184,6.7
A0000149,C000149,P085,PM008,20190916,64.5,1929.95,30,21.96,278,9.4
A0000150,C000150,P086,PM004,20200517,69.5,1071.4,15,22.33,217,7.5
A0000151,C000151,P087,PM002,20180620,68.55,564.35,8,21.82,315,8.6
A0000152,C000152,P042,PM004,20221118,95,655.5,7,96.73,166,4.6
A0000153,C000153,P053,PM008,20190801,108.15,7930.55,70,104.75,253,7.9
A0000154,C000154,P088,PM002,20180309,86.1,5215.25,62,26.99,311,7.6
A0000155,C000155,P011,PM004,20220224,19.7,113.5,6,1.66,64,8.4
A0000156,C000156,P089,PM006,20201123,80.9,1152.8,14,77.33,440,9.7
A0000157,C000157,P090,PM006,20180101,84.15,1821.95,22,93.48,224,9.3
A0000158,C000158,P011,PM004,20200620,20.15,419.9,22,2.57,67,9.4
A0000159,C000159,P091,PM004,20221213,64.25,1024,16,13.32,264,8.8
A0000160,C000160,P045,PM006,20200120,25.7,251.6,10,3.54,253,8.7
A0000161,C000161,P003,PM002,20200305,56,764.55,13,11.93,242,6.5
A0000162,C000162,P063,PM002,20230829,82.4,1592.35,20,86.34,339,7.1
A0000163,C000163,P005,PM002,20221225,69.7,135.2,2,75.49,317,10
A0000164,C000164,P092,PM006,20230914,73.9,3958.25,53,18.07,276,7.6
A0000165,C000165,P011,PM004,20190106,20.6,233.9,11,5.02,290,7.3
A0000166,C000166,P011,PM004,20230817,19.9,1363.45,69,2.26,240,8.9
A0000167,C000167,P005,PM006,20190106,70.9,273,4,75.01,409,5.6
A0000168,C000168,P022,PM006,20220816,89.05,6254.45,72,36.2,116,7.5
A0000169,C000169,P093,PM002,20200127,45.3,2651.2,58,12.36,11,3.3
A0000170,C000170,P011,PM002,20210212,20.4,321.4,16,0,255,8.4
A0000171,C000171,P094,PM006,20210922,84.25,3539.25,43,79.8,323,8.8
A0000172,C000172,P009,PM002,20210311,104.4,242.8,2,100.32,174,5.7
A0000173,C000173,P048,PM004,20220217,81.95,1181.75,14,24.2,93,8.3
A0000174,C000174,P025,PM006,20220101,94.85,5000.2,53,96.56,264,4.6
A0000175,C000175,P011,PM006,20231106,20.55,654.55,32,1.59,275,9.1
A0000176,C000176,P045,PM002,20190408,24.7,780.2,34,4.38,384,8
A0000177,C000177,P073,PM004,20190426,74.45,1145.7,15,74.52,135,4
A0000178,C000178,P082,PM006,20200402,76.45,503.6,7,83.72,353,4.7
A0000179,C000179,P012,PM006,20190608,105.35,1559.25,15,104.03,463,6
A0000180,C000180,P011,PM008,20180901,20.55,1252,61,13.81,216,7.9
A0000181,C000181,P001,PM006,20180827,29.95,29.95,1,12.11,0,5.5
A0000182,C000182,P027,PM004,20210505,45.3,45.3,1,9.3,213,8.6
A0000183,C000183,P034,PM006,20200208,84.5,662.65,8,79.15,251,6.7
A0000184,C000184,P095,PM008,20180823,74.75,2453.3,33,24.84,300,7.3
A0000185,C000185,P060,PM002,20190512,79.25,1111.65,13,78.13,196,4.9
A0000186,C000186,P068,PM002,20220228,24.8,24.8,1,11.01,22,5.6
A0000187,C000187,P030,PM004,20230319,51.8,1023.85,20,17.91,149,10
A0000188,C000188,P096,PM002,20220623,30.4,82.15,3,8.76,0,8.3
A0000189,C000189,P011,PM002,20200724,19.65,244.8,13,0,349,6.6
A0000190,C000190,P097,PM008,20210622,56.6,2379.1,40,9.41,45,8.8
A0000191,C000191,P083,PM008,20200329,71.9,3173.35,43,19.34,231,10
A0000192,C000192,P017,PM002,20180122,91,531,6,95.28,530,4.2
A0000193,C000193,P011,PM006,20231017,19.75,1375.4,69,1.27,248,9.1
A0000194,C000194,P053,PM008,20201224,109.7,8129.3,72,103.47,149,9.2
A0000195,C000195,P011,PM008,20230102,19.3,1192.7,59,1.06,244,9.6
A0000196,C000196,P098,PM002,20230614,96.55,1901.65,20,98.48,245,8.1
A0000197,C000197,P045,PM006,20191230,24.1,587.4,24,0,264,7
A0000198,C000198,P044,PM002,20230217,111.35,6519.75,59,112.12,309,7.9
A0000199,C000199,P044,PM006,20180731,112.25,8041.65,72,112.54,156,8.2
A0000200,C000200,P011,PM004,20221109,20.75,20.75,1,0,401,9.5
A0000201,C000201,P099,PM008,20180719,101.9,2681.15,27,103.69,272,8.4
A0000202,C000202,P100,PM008,20200913,80.05,1112.3,14,82.85,315,7.5
A0000203,C000203,P015,PM002,20180627,105.55,7405.5,71,110.97,193,8.8
A0000204,C000204,P035,PM008,20211217,78.3,1033.95,13,83.57,365,8.9
A0000205,C000205,P005,PM008,20200719,68.85,2958.95,44,61.96,226,8.3
A0000206,C000206,P100,PM006,20230730,79.95,2684.85,33,75.26,274,7
A0000207,C000207,P101,PM008,20220125,55.45,4179.2,72,19.21,2,7.6
A0000208,C000208,P089,PM002,20230923,79.9,79.9,1,82.47,160,5.4
A0000209,C000209,P013,PM002,20211225,106.6,1934.45,19,109.18,311,3.2
A0000210,C000210,P057,PM008,20180617,102.45,6654.1,64,121.71,210,5.5
A0000211,C000211,P027,PM008,20190809,46,84.5,2,16.65,173,6.5
A0000212,C000212,P068,PM002,20230331,25.25,25.25,1,13.25,4,8.4
A0000213,C000213,P011,PM004,20180116,19.75,1124.2,61,4.97,312,8.7
A0000214,C000214,P011,PM002,20220523,20,540.05,29,3.46,193,6.7
A0000215,C000215,P034,PM002,20200416,86.8,1975.85,23,85.22,239,8.6
A0000216,C000216,P080,PM006,20231128,58.75,3437.45,57,21.42,10,8.3
A0000217,C000217,P102,PM008,20220426,45.25,3139.8,72,9.71,0,5.9
A0000218,C000218,P103,PM006,20181102,56.6,3789.2,66,15.8,0,10
A0000219,C000219,P104,PM006,20230816,84.2,5324.5,65,22.83,280,7.6
A0000220,C000220,P035,PM006,20220913,80,624.6,8,80.41,183,7.3
A0000221,C000221,P005,PM002,20181227,70.15,268.35,4,81.72,345,4.4
A0000222,C000222,P045,PM006,20210423,24.75,1836.9,71,0,337,5.6
A0000223,C000223,P011,PM002,20230202,20.2,20.2,1,3.63,314,8.5
A0000224,C000224,P050,PM004,20230526,50.05,179.35,4,6.95,413,4.7
A0000225,C000225,P011,PM006,20210128,19.35,219.35,12,0,242,7.6
A0000226,C000226,P056,PM004,20210118,50.6,1288.75,24,20.62,15,9.5
A0000227,C000227,P105,PM004,20200910,81.15,2545.75,31,24.67,197,6
A0000228,C000228,P106,PM004,20210623,55.2,55.2,1,11.17,470,3.6
A0000229,C000229,P107,PM008,20231203,89.9,2723.15,30,86.32,428,7
A0000230,C000230,P108,PM008,20231029,85.3,4107.25,47,28.99,251,7.4
A0000231,C000231,P109,PM008,20180628,108,5760.65,54,104.35,284,8
A0000232,C000232,P110,PM008,20190715,93.5,4747.5,50,94.58,372,8.6
A0000233,C000233,P111,PM004,20221215,84.6,84.6,1,84.83,236,3.8
A0000234,C000234,P011,PM008,20181019,20.25,1566.9,72,0,190,7.4
A0000235,C000235,P045,PM002,20181018,25.15,702,29,10.97,328,9.9
A0000236,C000236,P097,PM004,20190626,54.4,114.1,2,19.49,257,7.3
A0000237,C000237,P096,PM004,20230325,29.6,299.05,10,0,11,8
A0000238,C000238,P073,PM002,20190817,73.15,1305.95,18,74.08,174,6.9
A0000239,C000239,P112,PM002,20211129,95,1120.3,11,91.69,95,6.3
A0000240,C000240,P011,PM004,20200805,19.75,284.35,16,4.46,271,6.1
A0000241,C000241,P104,PM006,20210910,86.6,6350.5,72,22.02,331,7.7
A0000242,C000242,P044,PM006,20190116,109.2,7878.3,72,108.63,229,7
A0000243,C000243,P113,PM008,20220901,74.7,3187.65,41,24.93,379,6.4
A0000244,C000244,P114,PM002,20181106,94.4,6126.15,65,98.73,186,7.8
A0000245,C000245,P115,PM002,20220821,54.8,731.3,13,10.44,155,6.6
A0000246,C000246,P082,PM002,20220207,75.35,273.4,4,73.68,243,8
A0000247,C000247,P116,PM004,20210311,65,2531.8,41,17.13,242,8.3
A0000248,C000248,P117,PM002,20191023,74.4,1074.3,15,71.13,319,4.2
A0000249,C000249,P010,PM004,20220206,48.55,48.55,1,23.39,180,3.8
A0000250,C000250,P118,PM002,20230904,99,4298.45,42,101.02,373,7.9
A0000251,C000251,P119,PM002,20231113,93.5,4619.55,51,87.2,427,8.9
A0000252,C000252,P005,PM002,20190719,70.4,147.15,2,74.99,246,4.5
A0000253,C000253,P120,PM002,20220525,40.2,40.2,1,22.67,19,5.4
A0000254,C000254,P104,PM008,20210414,83.7,2633.3,32,30.27,154,8.8
A0000255,C000255,P011,PM004,20191006,19.85,193.05,10,0,346,8.9
A0000256,C000256,P121,PM002,20211202,59.55,4103.9,67,15.44,18,9.4
A0000257,C000257,P014,PM008,20230505,115.1,7008.15,61,121.43,327,6.7
A0000258,C000258,P014,PM008,20190404,114.35,5791.1,50,110.81,248,7.2
A0000259,C000259,P027,PM008,20181204,44.6,80.55,2,15.6,0,6.7
A0000260,C000260,P122,PM002,20210916,45,1228.65,29,17.37,4,7.8
A0000261,C000261,P018,PM002,20230707,41.15,132.2,3,7.71,4,1.3
A0000262,C000262,P012,PM002,20181211,106.9,1364.3,13,106.6,161,4.6
A0000263,C000263,P123,PM002,20190730,89.85,4925.35,57,73.64,261,7.9
A0000264,C000264,P124,PM006,20220420,49.85,1520.1,31,9.83,6,4.9
A0000265,C000265,P014,PM004,20220328,113.3,5032.25,45,112.04,175,9.6
A0000266,C000266,P022,PM004,20200731,88.1,5526.75,61,20.19,154,7.1
A0000267,C000267,P045,PM006,20181212,24.9,1195.25,50,8.41,185,8.5
A0000268,C000268,P125,PM004,20181121,105,2007.25,19,97.85,350,7.7
A0000269,C000269,P011,PM004,20231109,19.35,1099.6,59,0,190,3
A0000270,C000270,P045,PM008,20181021,24.25,1732.95,71,0.9,203,6.8
A0000271,C000271,P126,PM002,20190608,94.45,1511.2,16,101.66,208,4
A0000272,C000272,P020,PM002,20180916,59.75,3450.15,57,10.75,280,9.4
A0000273,C000273,P068,PM006,20210115,24.8,24.8,1,13.26,13,4.5
A0000274,C000274,P127,PM002,20220226,107.05,2172.05,20,107.1,0,7.3
A0000275,C000275,P005,PM004,20200331,70.6,70.6,1,65.69,341,3.5
A0000276,C000276,P076,PM002,20230308,85.4,401.1,5,87.71,379,5.5
A0000277,C000277,P012,PM002,20220320,105.05,5624.85,52,106.05,155,6.6
A0000278,C000278,P128,PM006,20190723,64.95,1339.8,21,16.48,162,9.1
A0000279,C000279,P129,PM002,20190524,55,771.95,14,16.85,6,8.5
A0000280,C000280,P030,PM006,20220413,50.55,244.75,5,13.24,181,8
A0000281,C000281,P003,PM004,20230826,55.15,322.9,6,17.11,270,6.3
A0000282,C000282,P030,PM002,20190609,51.2,498.25,10,18.67,74,7.4
A0000283,C000283,P045,PM004,20210422,25.4,25.4,1,8.18,149,7.1
A0000284,C000284,P130,PM004,20181105,54.45,3687.75,68,10.15,388,5.5
A0000285,C000285,P025,PM004,20230114,95.15,1779.95,18,105.82,166,5.8
A0000286,C000286,P073,PM008,20211015,76,1783.6,22,66.24,361,7.2
A0000287,C000287,P027,PM002,20230427,44.35,927.15,20,12.55,281,9.5
A0000288,C000288,P005,PM002,20210326,70,70,1,72.94,87,5.7
A0000289,C000289,P117,PM002,20201110,74.5,606.55,8,75.9,307,5.5
A0000290,C000290,P027,PM008,20201008,44.85,435.4,10,10.34,239,5.1
A0000291,C000291,P073,PM002,20181216,76.1,1712.7,24,75.06,209,4
A0000292,C000292,P131,PM004,20200818,61.2,2021.2,35,15.89,272,9.8
A0000293,C000293,P132,PM004,20190314,86.8,1940.8,23,83.85,292,8
A0000294,C000294,P133,PM002,20190401,89.35,567.8,6,93.6,313,8.3
A0000295,C000295,P011,PM004,20220419,19.7,220.35,12,1.98,356,7.2
A0000296,C000296,P011,PM004,20210108,20.25,20.25,1,0,286,7
A0000297,C000297,P029,PM002,20220115,76.05,5436.45,71,80.55,126,8.5
A0000298,C000298,P006,PM002,20220607,100.8,3437.5,35,102.34,207,8.2
A0000299,C000299,P134,PM002,20220221,74.55,3015.75,40,26.43,514,6.8
A0000300,C000300,P082,PM004,20191005,73.6,73.6,1,76.75,315,2.7
A0000301,C000301,P023,PM006,20190127,64.9,1509.8,23,15.33,463,6.7
A0000302,C000302,P042,PM002,20230912,95.45,396.1,4,92.65,375,6.4
A0000303,C000303,P135,PM002,20200709,90.4,356.65,4,94.14,271,7.1
A0000304,C000304,P121,PM008,20220612,60.3,4109,68,21.14,12,7.3
A0000305,C000305,P040,PM004,20230430,81.85,3141.7,38,81.75,246,9.8
A0000306,C000306,P045,PM004,20210119,24.8,1229.1,52,0.83,93,6.6
A0000307,C000307,P073,PM002,20190217,74.9,2303.35,32,81.29,251,3.8
A0000308,C000308,P136,PM004,20221124,75.55,2054.4,29,19.71,358,6.6
A0000309,C000309,P021,PM002,20231022,101.15,3741.85,38,103.89,196,10
A0000310,C000310,P137,PM008,20180918,78.75,3682.45,48,22.61,287,10
A0000311,C000311,P011,PM006,20230707,19.25,19.25,1,0,326,8.7
A0000312,C000312,P138,PM002,20210828,89.05,1886.25,22,94.54,168,9.1
A0000313,C000313,P014,PM008,20200816,115.05,4895.1,43,119.18,209,7.1
A0000314,C000314,P005,PM002,20230123,69.35,341.6,5,73.42,158,10
A0000315,C000315,P035,PM002,20230801,80.6,415.55,5,87.13,176,4.9
A0000316,C000316,P109,PM008,20210403,110.05,5686.4,51,110.16,134,8.9
A0000317,C000317,P011,PM008,20181201,19.9,1355.1,71,3.61,168,7.9
A0000318,C000318,P139,PM008,20200314,80.3,3058.65,38,22.54,377,4.1
A0000319,C000319,P025,PM002,20200829,93.15,2231.05,24,94.77,167,6.7
A0000320,C000320,P140,PM008,20201230,91.5,3236.35,35,90.85,261,8.6
A0000321,C000321,P108,PM006,20200729,82.45,4350.1,54,25.22,204,6.6
A0000322,C000322,P121,PM002,20200621,60,4264,72,20.98,19,8.4
A0000323,C000323,P027,PM002,20210622,44.8,44.8,1,9.35,368,6.7
A0000324,C000324,P010,PM004,20180124,48.6,422.3,9,25.04,327,7.3
A0000325,C000325,P141,PM006,20190711,60.05,4176.7,69,12.98,12,7.8
A0000326,C000326,P127,PM008,20211028,102.7,5138.1,52,96.63,229,7
A0000327,C000327,P142,PM002,20230220,82.9,880.05,11,88.69,142,6.4
A0000328,C000328,P005,PM002,20221024,70.35,139.05,2,74.31,424,6
A0000329,C000329,P059,PM002,20200531,35.9,973.65,28,13.89,3,7.3
A0000330,C000330,P078,PM008,20230222,82.65,1470.05,17,85.79,309,8.2
A0000331,C000331,P011,PM004,20210527,19.85,739.35,35,0.14,345,8.4
A0000332,C000332,P011,PM004,20210526,19.2,161.95,8,0,200,7.2
A0000333,C000333,P143,PM008,20230910,94.9,4422.95,46,95.28,343,9.7
A0000334,C000334,P073,PM002,20210627,73.85,511.25,7,70.46,318,3.6
A0000335,C000335,P078,PM004,20190720,80.6,155.8,2,85.48,405,4.8
A0000336,C000336,P092,PM006,20230820,75.8,5293.95,68,22,207,4.8
A0000337,C000337,P012,PM002,20191109,104.6,4759.85,43,100.47,134,4.7
A0000338,C000338,P022,PM002,20200430,88.15,6148.45,68,24.84,204,6.5
A0000339,C000339,P112,PM008,20181012,94.8,3565.65,36,96.86,268,9
A0000340,C000340,P012,PM002,20220402,103.4,6603,63,100.58,255,5.5
A0000341,C000341,P144,PM006,20190106,54.65,1830.1,32,12.28,214,7.4
A0000342,C000342,P022,PM008,20230115,85.75,6223.8,71,26.94,78,8.9
A0000343,C000343,P145,PM006,20230222,67.45,4508.65,66,21.46,292,8.3
A0000344,C000344,P011,PM004,20220530,20.5,1328.15,63,0,427,6.6
A0000345,C000345,P011,PM008,20180521,20.25,865,41,0,291,6.8
